Story #,Title,Story Text,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5
18,The Girl’s Secret 18,"The mountain hummed a low song at night.
Villagers thought it was the wind.
But a girl who listened carefully heard words.
It was her grandmother’s lullaby.",What happens at the beginning of story 18?,The mountain hummed a low song at night,What is the key event in story 18?,Villagers thought it was the wind,What surprising moment occurs in story 18?,But a girl who listened carefully heard words,What happens near the end of story 18?,It was her grandmother’s lullaby.,What is the overall theme of story 18?,It was her grandmother’s lullaby.
19,The Cats’ Gift 19,"A cat watched stars every evening.
One fell and landed in its paws.
The cat swallowed it whole.
From then on, its eyes glowed like galaxies.",What happens at the beginning of story 19?,A cat watched stars every evening,What is the key event in story 19?,One fell and landed in its paws,What surprising moment occurs in story 19?,The cat swallowed it whole,What happens near the end of story 19?,"From then on, its eyes glowed like galaxies.",What is the overall theme of story 19?,"From then on, its eyes glowed like galaxies."
20,The Girl’s Secret 20,"A man built a clock that counted backwards.
People laughed, thinking it useless.
But when he turned it on, his wrinkles faded.
He smiled, young again, for the last time.A girl discovered a door in her closet.
Every time she opened it, a new world appeared.
One day, she found a world without her in it.
She shut the door quickly, but it never opened again.",What happens at the beginning of story 20?,A man built a clock that counted backwards,What is the key event in story 20?,"People laughed, thinking it useless",What surprising moment occurs in story 20?,"But when he turned it on, his wrinkles faded",What happens near the end of story 20?,"She shut the door quickly, but it never opened again.",What is the overall theme of story 20?,"She shut the door quickly, but it never opened again."
21,Mystery Tale 21,"A farmer planted stars instead of seeds.
At night, his fields glowed brighter than the moon.
Travelers followed the light to find him.
He became a legend called “The Star Grower.”",What happens at the beginning of story 21?,A farmer planted stars instead of seeds,What is the key event in story 21?,"At night, his fields glowed brighter than the moon",What surprising moment occurs in story 21?,Travelers followed the light to find him,What happens near the end of story 21?,He became a legend called “The Star Grower.”,What is the overall theme of story 21?,He became a legend called “The Star Grower.”
22,The Boy’s Journey 22,"A boy found a violin in the attic.
When he played it, ghosts danced in the room.
They bowed after each song.
He never felt lonely again.",What happens at the beginning of story 22?,A boy found a violin in the attic,What is the key event in story 22?,"When he played it, ghosts danced in the room",What surprising moment occurs in story 22?,They bowed after each song,What happens near the end of story 22?,He never felt lonely again.,What is the overall theme of story 22?,He never felt lonely again.
23,Mystery Tale 23,"A king locked his heart in a golden box.
He thought it would protect him from pain.
But without it, he forgot how to smile.
The box rusted, and so did he.",What happens at the beginning of story 23?,A king locked his heart in a golden box,What is the key event in story 23?,He thought it would protect him from pain,What surprising moment occurs in story 23?,"But without it, he forgot how to smile",What happens near the end of story 23?,"The box rusted, and so did he.",What is the overall theme of story 23?,"The box rusted, and so did he."
24,The Girl’s Secret 24,"A girl painted a rainbow without colors.
People laughed at her blank canvas.
Then it rained, and her rainbow appeared in the sky.
She never explained how.",What happens at the beginning of story 24?,A girl painted a rainbow without colors,What is the key event in story 24?,People laughed at her blank canvas,What surprising moment occurs in story 24?,"Then it rained, and her rainbow appeared in the sky",What happens near the end of story 24?,She never explained how.,What is the overall theme of story 24?,She never explained how.
25,The Boy’s Journey 25,"A boy’s shadow refused to follow him.
It walked into the forest alone.
Years later, it returned, older than him.
And it whispered, “You wasted your life.”",What happens at the beginning of story 25?,A boy’s shadow refused to follow him,What is the key event in story 25?,It walked into the forest alone,What surprising moment occurs in story 25?,"Years later, it returned, older than him",What happens near the end of story 25?,"And it whispered, “You wasted your life.”",What is the overall theme of story 25?,"And it whispered, “You wasted your life.”"
26,Mystery Tale 26,"A lighthouse keeper lit his lamp every night.
But no ships ever came.
One morning, he realized the ocean had dried up.
And the lamp was guiding something else.",What happens at the beginning of story 26?,A lighthouse keeper lit his lamp every night,What is the key event in story 26?,But no ships ever came,What surprising moment occurs in story 26?,"One morning, he realized the ocean had dried up",What happens near the end of story 26?,And the lamp was guiding something else.,What is the overall theme of story 26?,And the lamp was guiding something else.
27,A Child’s Wish 27,"A child befriended a giant snail.
They raced every day, though the snail always lost.
One day, the snail reached the finish line first.
The child realized he had grown old.",What happens at the beginning of story 27?,A child befriended a giant snail,What is the key event in story 27?,"They raced every day, though the snail always lost",What surprising moment occurs in story 27?,"One day, the snail reached the finish line first",What happens near the end of story 27?,The child realized he had grown old.,What is the overall theme of story 27?,The child realized he had grown old.
28,The Man’s Fate 28,"A woman wrote letters to the future.
She buried them in jars under her garden.
One morning, the letters appeared in her mailbox.
They were signed by her grandchildren.",What happens at the beginning of story 28?,A woman wrote letters to the future,What is the key event in story 28?,She buried them in jars under her garden,What surprising moment occurs in story 28?,"One morning, the letters appeared in her mailbox",What happens near the end of story 28?,They were signed by her grandchildren.,What is the overall theme of story 28?,They were signed by her grandchildren.
29,The Man’s Fate 29,"A man collected broken clocks.
Each one ticked only when he held it.
At midnight, they all rang together.
He disappeared with the sound.",What happens at the beginning of story 29?,A man collected broken clocks,What is the key event in story 29?,Each one ticked only when he held it,What surprising moment occurs in story 29?,"At midnight, they all rang together",What happens near the end of story 29?,He disappeared with the sound.,What is the overall theme of story 29?,He disappeared with the sound.
30,The Girl’s Secret 30,"A girl climbed the tallest tree in the village.
At the top, she found a nest of suns.
She held one in her hands.
The world lit up brighter than ever before.",What happens at the beginning of story 30?,A girl climbed the tallest tree in the village,What is the key event in story 30?,"At the top, she found a nest of suns",What surprising moment occurs in story 30?,She held one in her hands,What happens near the end of story 30?,The world lit up brighter than ever before.,What is the overall theme of story 30?,The world lit up brighter than ever before.
31,Mystery Tale 31,"A lonely scarecrow wished for friends.
At dawn, crows landed on his shoulders.
Instead of eating, they sang to him.
He never scared them again.",What happens at the beginning of story 31?,A lonely scarecrow wished for friends,What is the key event in story 31?,"At dawn, crows landed on his shoulders",What surprising moment occurs in story 31?,"Instead of eating, they sang to him",What happens near the end of story 31?,He never scared them again.,What is the overall theme of story 31?,He never scared them again.
32,Mystery Tale 32,"A baker made bread that never grew stale.
Travelers carried it across the world.
One piece returned centuries later.
It still smelled of home.",What happens at the beginning of story 32?,A baker made bread that never grew stale,What is the key event in story 32?,Travelers carried it across the world,What surprising moment occurs in story 32?,One piece returned centuries later,What happens near the end of story 32?,It still smelled of home.,What is the overall theme of story 32?,It still smelled of home.
33,A Child’s Wish 33,"A child whispered secrets to the ocean.
Years later, the waves whispered them back.
Some were forgotten, some forgiven.
But one broke her heart.",What happens at the beginning of story 33?,A child whispered secrets to the ocean,What is the key event in story 33?,"Years later, the waves whispered them back",What surprising moment occurs in story 33?,"Some were forgotten, some forgiven",What happens near the end of story 33?,But one broke her heart.,What is the overall theme of story 33?,But one broke her heart.
34,The Man’s Fate 34,"A man painted doors on cave walls.
Each one glowed faintly.
A stranger stepped through and vanished.
The man never painted again.",What happens at the beginning of story 34?,A man painted doors on cave walls,What is the key event in story 34?,Each one glowed faintly,What surprising moment occurs in story 34?,A stranger stepped through and vanished,What happens near the end of story 34?,The man never painted again.,What is the overall theme of story 34?,The man never painted again.
35,The Girl’s Secret 35,"A girl caught fireflies in jars.
Each jar held a different song.
She opened them on her wedding day.
The whole forest sang with her.",What happens at the beginning of story 35?,A girl caught fireflies in jars,What is the key event in story 35?,Each jar held a different song,What surprising moment occurs in story 35?,She opened them on her wedding day,What happens near the end of story 35?,The whole forest sang with her.,What is the overall theme of story 35?,The whole forest sang with her.
36,Mystery Tale 36,"A soldier carried an empty picture frame.
He said it held someone he hadn’t met yet.
After the war, he found her in a café.
She fit the frame perfectly.",What happens at the beginning of story 36?,A soldier carried an empty picture frame,What is the key event in story 36?,He said it held someone he hadn’t met yet,What surprising moment occurs in story 36?,"After the war, he found her in a café",What happens near the end of story 36?,She fit the frame perfectly.,What is the overall theme of story 36?,She fit the frame perfectly.
37,The Boy’s Journey 37,"A boy built a ship from paper.
He set it on the river and followed.
The ship grew larger with each bend.
Until he was sailing the seas.",What happens at the beginning of story 37?,A boy built a ship from paper,What is the key event in story 37?,He set it on the river and followed,What surprising moment occurs in story 37?,The ship grew larger with each bend,What happens near the end of story 37?,Until he was sailing the seas.,What is the overall theme of story 37?,Until he was sailing the seas.
38,Mystery Tale 38,"A queen wore a crown of thorns.
She said it kept her humble.
When she died, roses bloomed from it.
Her kingdom never forgot her kindness.",What happens at the beginning of story 38?,A queen wore a crown of thorns,What is the key event in story 38?,She said it kept her humble,What surprising moment occurs in story 38?,"When she died, roses bloomed from it",What happens near the end of story 38?,Her kingdom never forgot her kindness.,What is the overall theme of story 38?,Her kingdom never forgot her kindness.
39,The Man’s Fate 39,"A man counted stars every night.
He stopped when he reached one billion.
The next evening, a star fell into his hands.
It said, “Thank you for noticing me.”",What happens at the beginning of story 39?,A man counted stars every night,What is the key event in story 39?,He stopped when he reached one billion,What surprising moment occurs in story 39?,"The next evening, a star fell into his hands",What happens near the end of story 39?,"It said, “Thank you for noticing me.”",What is the overall theme of story 39?,"It said, “Thank you for noticing me.”"
40,The Girl’s Secret 40,"A girl wore a red ribbon in her hair.
She said it kept the monsters away.
One day, the ribbon snapped.
And the ground began to shake.",What happens at the beginning of story 40?,A girl wore a red ribbon in her hair,What is the key event in story 40?,She said it kept the monsters away,What surprising moment occurs in story 40?,"One day, the ribbon snapped",What happens near the end of story 40?,And the ground began to shake.,What is the overall theme of story 40?,And the ground began to shake.
41,The Man’s Fate 41,"A fisherman cast his net into the sky.
He pulled down a cloud.
It rained on his village for a week.
The crops never failed again.",What happens at the beginning of story 41?,A fisherman cast his net into the sky,What is the key event in story 41?,He pulled down a cloud,What surprising moment occurs in story 41?,It rained on his village for a week,What happens near the end of story 41?,The crops never failed again.,What is the overall theme of story 41?,The crops never failed again.
42,The Boy’s Journey 42,"A boy carved animals from wood.
At night, they came alive.
One day, they refused to return to wood.
And the boy became their king.",What happens at the beginning of story 42?,A boy carved animals from wood,What is the key event in story 42?,"At night, they came alive",What surprising moment occurs in story 42?,"One day, they refused to return to wood",What happens near the end of story 42?,And the boy became their king.,What is the overall theme of story 42?,And the boy became their king.
43,The Man’s Fate 43,"A woman sang to the moon.
The moon hummed back softly.
One night, the moon fell silent.
The woman’s voice was gone too.",What happens at the beginning of story 43?,A woman sang to the moon,What is the key event in story 43?,The moon hummed back softly,What surprising moment occurs in story 43?,"One night, the moon fell silent",What happens near the end of story 43?,The woman’s voice was gone too.,What is the overall theme of story 43?,The woman’s voice was gone too.
44,A Child’s Wish 44,"A child found a staircase underground.
It led endlessly downward.
When he reached the bottom, he saw himself at the top.
He was still climbing.",What happens at the beginning of story 44?,A child found a staircase underground,What is the key event in story 44?,It led endlessly downward,What surprising moment occurs in story 44?,"When he reached the bottom, he saw himself at the top",What happens near the end of story 44?,He was still climbing.,What is the overall theme of story 44?,He was still climbing.
45,The Man’s Fate 45,"A man dreamed of fire every night.
When he woke, ashes covered his bed.
One morning, he woke to no house at all.
Only flames remained.",What happens at the beginning of story 45?,A man dreamed of fire every night,What is the key event in story 45?,"When he woke, ashes covered his bed",What surprising moment occurs in story 45?,"One morning, he woke to no house at all",What happens near the end of story 45?,Only flames remained.,What is the overall theme of story 45?,Only flames remained.
46,The Girl’s Secret 46,"A girl loved mirrors.
One day, her reflection didn’t move.
It smiled first.
Then it stepped out.",What happens at the beginning of story 46?,A girl loved mirrors,What is the key event in story 46?,"One day, her reflection didn’t move",What surprising moment occurs in story 46?,It smiled first,What happens near the end of story 46?,Then it stepped out.,What is the overall theme of story 46?,Then it stepped out.
47,The Boy’s Journey 47,"A boy collected raindrops in bottles.
He labeled each one with the date.
When he opened them, the memories returned.
Some were not his own.",What happens at the beginning of story 47?,A boy collected raindrops in bottles,What is the key event in story 47?,He labeled each one with the date,What surprising moment occurs in story 47?,"When he opened them, the memories returned",What happens near the end of story 47?,Some were not his own.,What is the overall theme of story 47?,Some were not his own.
48,Mystery Tale 48,"A traveler found a bridge made of glass.
It cracked with every step.
He reached the end safely.
Behind him, the bridge vanished forever.",What happens at the beginning of story 48?,A traveler found a bridge made of glass,What is the key event in story 48?,It cracked with every step,What surprising moment occurs in story 48?,He reached the end safely,What happens near the end of story 48?,"Behind him, the bridge vanished forever.",What is the overall theme of story 48?,"Behind him, the bridge vanished forever."
49,Mystery Tale 49,"A king asked his oracle how he would die.
She handed him a feather.
He laughed at the prophecy.
Until he choked on a bird’s wing.",What happens at the beginning of story 49?,A king asked his oracle how he would die,What is the key event in story 49?,She handed him a feather,What surprising moment occurs in story 49?,He laughed at the prophecy,What happens near the end of story 49?,Until he choked on a bird’s wing.,What is the overall theme of story 49?,Until he choked on a bird’s wing.
50,The Boy’s Journey 50,"A boy followed a trail of feathers.
They led to a giant bird asleep.
He touched its wing.
The world changed seasons instantly.",What happens at the beginning of story 50?,A boy followed a trail of feathers,What is the key event in story 50?,They led to a giant bird asleep,What surprising moment occurs in story 50?,He touched its wing,What happens near the end of story 50?,The world changed seasons instantly.,What is the overall theme of story 50?,The world changed seasons instantly.
51,The Girl’s Secret 51,"A girl lost her shadow during a storm.
She searched for it in puddles.
One day, she found it hiding under another child.
It never came back to her.",What happens at the beginning of story 51?,A girl lost her shadow during a storm,What is the key event in story 51?,She searched for it in puddles,What surprising moment occurs in story 51?,"One day, she found it hiding under another child",What happens near the end of story 51?,It never came back to her.,What is the overall theme of story 51?,It never came back to her.
52,The Man’s Fate 52,"A man drank from a silver cup.
It made him immortal.
But water tasted like sand forever after.
He wished for thirst instead.",What happens at the beginning of story 52?,A man drank from a silver cup,What is the key event in story 52?,It made him immortal,What surprising moment occurs in story 52?,But water tasted like sand forever after,What happens near the end of story 52?,He wished for thirst instead.,What is the overall theme of story 52?,He wished for thirst instead.
53,The Boy’s Journey 53,"A boy drew wings on the walls.
At night, he dreamed of flying.
One day, he woke up with chalk dust on his back.
And feathers scattered on the floor.",What happens at the beginning of story 53?,A boy drew wings on the walls,What is the key event in story 53?,"At night, he dreamed of flying",What surprising moment occurs in story 53?,"One day, he woke up with chalk dust on his back",What happens near the end of story 53?,And feathers scattered on the floor.,What is the overall theme of story 53?,And feathers scattered on the floor.
54,The Man’s Fate 54,"A woman could taste lies.
Sweet ones made her smile, bitter ones made her sick.
She stopped eating altogether.
Truth was too rare.",What happens at the beginning of story 54?,A woman could taste lies,What is the key event in story 54?,"Sweet ones made her smile, bitter ones made her sick",What surprising moment occurs in story 54?,She stopped eating altogether,What happens near the end of story 54?,Truth was too rare.,What is the overall theme of story 54?,Truth was too rare.
55,Mystery Tale 55,"A soldier dropped his sword in the river.
A fish swam away with it.
Years later, the fish returned as a dragon.
It bowed to him.",What happens at the beginning of story 55?,A soldier dropped his sword in the river,What is the key event in story 55?,A fish swam away with it,What surprising moment occurs in story 55?,"Years later, the fish returned as a dragon",What happens near the end of story 55?,It bowed to him.,What is the overall theme of story 55?,It bowed to him.
56,The Girl’s Secret 56,"A girl lived in a house of glass.
Everyone could see her life.
One day, she drew curtains.
And the world panicked.",What happens at the beginning of story 56?,A girl lived in a house of glass,What is the key event in story 56?,Everyone could see her life,What surprising moment occurs in story 56?,"One day, she drew curtains",What happens near the end of story 56?,And the world panicked.,What is the overall theme of story 56?,And the world panicked.
57,The Boy’s Journey 57,"A boy collected autumn leaves.
Each leaf whispered a goodbye.
One leaf said his own name.
He stopped collecting after that.",What happens at the beginning of story 57?,A boy collected autumn leaves,What is the key event in story 57?,Each leaf whispered a goodbye,What surprising moment occurs in story 57?,One leaf said his own name,What happens near the end of story 57?,He stopped collecting after that.,What is the overall theme of story 57?,He stopped collecting after that.
58,The Man’s Fate 58,"A man walked into a storm.
Lightning struck, but he stood unharmed.
Thunder whispered his name.
He never came back.",What happens at the beginning of story 58?,A man walked into a storm,What is the key event in story 58?,"Lightning struck, but he stood unharmed",What surprising moment occurs in story 58?,Thunder whispered his name,What happens near the end of story 58?,He never came back.,What is the overall theme of story 58?,He never came back.
59,The Man’s Fate 59,"A woman knitted scarves for the wind.
She left them on fences and trees.
The wind carried them to travelers.
And every scarf found a home.",What happens at the beginning of story 59?,A woman knitted scarves for the wind,What is the key event in story 59?,She left them on fences and trees,What surprising moment occurs in story 59?,The wind carried them to travelers,What happens near the end of story 59?,And every scarf found a home.,What is the overall theme of story 59?,And every scarf found a home.
60,A Child’s Wish 60,"A child saw colors no one else could.
He painted them everywhere.
People called him mad.
But the rain revealed his truths.",What happens at the beginning of story 60?,A child saw colors no one else could,What is the key event in story 60?,He painted them everywhere,What surprising moment occurs in story 60?,People called him mad,What happens near the end of story 60?,But the rain revealed his truths.,What is the overall theme of story 60?,But the rain revealed his truths.
61,The Girl’s Secret 61,"A girl slept under an oak tree.
When she woke, it had moved.
Every night, it walked farther away.
She kept following.",What happens at the beginning of story 61?,A girl slept under an oak tree,What is the key event in story 61?,"When she woke, it had moved",What surprising moment occurs in story 61?,"Every night, it walked farther away",What happens near the end of story 61?,She kept following.,What is the overall theme of story 61?,She kept following.
62,The Man’s Fate 62,"A man told jokes to the stars.
One of them laughed and fell.
It burned a hole in his field.
He planted flowers in the crater.",What happens at the beginning of story 62?,A man told jokes to the stars,What is the key event in story 62?,One of them laughed and fell,What surprising moment occurs in story 62?,It burned a hole in his field,What happens near the end of story 62?,He planted flowers in the crater.,What is the overall theme of story 62?,He planted flowers in the crater.
63,The Boy’s Journey 63,"A boy found a compass that spun wildly.
He followed it anyway.
It led him to a place with no horizon.
And no way back.",What happens at the beginning of story 63?,A boy found a compass that spun wildly,What is the key event in story 63?,He followed it anyway,What surprising moment occurs in story 63?,It led him to a place with no horizon,What happens near the end of story 63?,And no way back.,What is the overall theme of story 63?,And no way back.
64,The Man’s Fate 64,"A woman wove baskets from shadows.
They held things that didn’t exist.
People came to see the impossible.
But the baskets were always empty in daylight.",What happens at the beginning of story 64?,A woman wove baskets from shadows,What is the key event in story 64?,They held things that didn’t exist,What surprising moment occurs in story 64?,People came to see the impossible,What happens near the end of story 64?,But the baskets were always empty in daylight.,What is the overall theme of story 64?,But the baskets were always empty in daylight.
65,Mystery Tale 65,"A king banished music from his land.
Silence ruled for years.
One day, a bird sang anyway.
The kingdom rose in song and overthrew him.",What happens at the beginning of story 65?,A king banished music from his land,What is the key event in story 65?,Silence ruled for years,What surprising moment occurs in story 65?,"One day, a bird sang anyway",What happens near the end of story 65?,The kingdom rose in song and overthrew him.,What is the overall theme of story 65?,The kingdom rose in song and overthrew him.
66,The Boy’s Journey 66,"A boy wished to be invisible.
His wish came true.
But no one remembered him.
Not even himself.",What happens at the beginning of story 66?,A boy wished to be invisible,What is the key event in story 66?,His wish came true,What surprising moment occurs in story 66?,But no one remembered him,What happens near the end of story 66?,Not even himself.,What is the overall theme of story 66?,Not even himself.
67,The Girl’s Secret 67,"A girl collected whispers in her notebook.
She wrote them down as they passed.
One whisper begged for help.
It came from her own page.",What happens at the beginning of story 67?,A girl collected whispers in her notebook,What is the key event in story 67?,She wrote them down as they passed,What surprising moment occurs in story 67?,One whisper begged for help,What happens near the end of story 67?,It came from her own page.,What is the overall theme of story 67?,It came from her own page.
68,The Man’s Fate 68,"A man painted sunsets every evening.
One day, the sun refused to rise.
He painted it back into the sky.
But it never set again.",What happens at the beginning of story 68?,A man painted sunsets every evening,What is the key event in story 68?,"One day, the sun refused to rise",What surprising moment occurs in story 68?,He painted it back into the sky,What happens near the end of story 68?,But it never set again.,What is the overall theme of story 68?,But it never set again.
69,The Boy’s Journey 69,"A child touched a rainbow.
Her fingers glowed with colors.
Everywhere she walked, flowers bloomed.
But she never saw rain again.A boy followed fireflies into the forest.
They led him to a pond glowing with light.
He touched the water, and wings grew on his back.
The fireflies bowed as he flew away.",What happens at the beginning of story 69?,A child touched a rainbow,What is the key event in story 69?,Her fingers glowed with colors,What surprising moment occurs in story 69?,"Everywhere she walked, flowers bloomed",What happens near the end of story 69?,The fireflies bowed as he flew away.,What is the overall theme of story 69?,The fireflies bowed as he flew away.
70,The Girl’s Secret 70,"A girl’s tears turned into pearls.
Her family grew rich selling them.
But when she stopped crying, they left her.
She kept one pearl to remind herself of love.",What happens at the beginning of story 70?,A girl’s tears turned into pearls,What is the key event in story 70?,Her family grew rich selling them,What surprising moment occurs in story 70?,"But when she stopped crying, they left her",What happens near the end of story 70?,She kept one pearl to remind herself of love.,What is the overall theme of story 70?,She kept one pearl to remind herself of love.
